Name,URL,Collection,Opening Hours,Address,Latitude,Longitude,Price Range,Alcohol,Rating,Rating Count
Aidu South Indian Kitchen & Bar,/hyderabad/aidu-south-indian-kitchen-bar-jubilee-hills,South-Indian Restaurants,12noon – 11:15pm (Today),"8-2-293/A/1057/G, Ground To 3 Rd Floor, Road 45, Jubilee Hills Circle 18, Jubilee Hills, Hyderabad",17.42746663,78.40608894,"1,500",No,4.2,818
Panchakattu Dosa,/hyderabad/panchakattu-dosa-banjara-hills,South-Indian Restaurants,Opens at 5pm,"8-2-120/C/98/1, Parkview Enclave, Road 02, Banjara Hills, Hyderabad",17.4241423,78.4240761,200,No,4.5,120
Telugu Medium Kitchen & Bar,/hyderabad/telugu-medium-kitchen-bar-jubilee-hills,South-Indian Restaurants,12noon – 11pm (Today),"8-2-293/82/A/1062, Shaikpet, Jubilee Hills, Hyderabad",17.42817835,78.40385984,"1,500",No,4,485
Mahamudra,/hyderabad/mahamudra-jubilee-hills,South-Indian Restaurants,11am – 9pm (Today),"Isha Life Yoga Studio LLP, Plot 522, Road 27, Jubilee Hills, Hyderabad",17.439074,78.407971,850,No,4.6,259
Chutneys,/hyderabad/chutneys-hitech-city,South-Indian Restaurants,12noon – 11pm (Today),"4th Floor, Food Court, Inorbit Mall, Hitech City, Hyderabad",17.4348509,78.38678867,950,No,3.8,1489
7 Oceans,/hyderabad/7-oceans-miyapur,South-Indian Restaurants,11am – 12midnight (Today),"Plot 203/P/204, Matrusri Co-Operative Housing, Circle 20, Miyapur, Hyderabad",17.496005,78.370053,"1,400",No,3.8,5
Taaza Kitchen,/hyderabad/taaza-kitchen-madhapur,South-Indian Restaurants,"7am – 3pm, 4:30pm – 11pm (Today)","Plot 497, 100 Feet Road, Ayyappa Society, Mega Hills, Madhapur, Hyderabad",17.45219934,78.3912988,150,No,4.7,654
Ishtaa,/hyderabad/ishtaa-gachibowli,South-Indian Restaurants,"6:30am – 3:15pm, 6:15pm – 10:15pm (Today)","Survey 53, Ground Floor & 1st Floor, Club House Building, NCC Urban Gardenia, Serilingampally, Gachibowli, Hyderabad",17.43476461,78.37417408,700,No,4.2,2204
Palm Tree Arabian Restaurant,/hyderabad/palm-tree-arabian-restaurant-hafeezpet,South-Indian Restaurants,1pm – 3am (Today),"1st Floor, Sri Mani Sai Kalyan Arcade, Prem Nagar, Miyapur Road, Hafeezpet, Hyderabad",17.47975,78.36098,600,No,4.1,96
Simply South,/hyderabad/simply-south-jubilee-hills,South-Indian Restaurants,"7am – 11:30am, 12noon – 3:30pm, 4pm – 11:30pm (Today)","Ground Floor, A V Towers, Plot 131, Road 2, Icrisat Colony, Jubilee Hills, Hyderabad",17.43423367,78.41669396,"1,400",No,4.3,1866
Jonathan's Kitchen,/hyderabad/jonathans-kitchen-financial-district,World Cuisine,"11:30am – 3:30pm, 7pm – 10:30pm (Today)","Survey 27/1-2-3-4, Nanakramguda, Financial District, Financial District, Hyderabad",17.42349473,78.34776655,"3,600",No,4.1,4688
Flying Spaghetti Monster,/hyderabad/flying-spaghetti-monster-banjara-hills,World Cuisine,12noon – 11pm (Today),"Plot 5, Ground Floor, UBI Colony, Road 3, Banjara Hills, Hyderabad",17.42462907,78.43668412,"1,800",No,4.2,442
Teraso Sky Bar ,/hyderabad/teraso-sky-bar-jubilee-hills,World Cuisine,Opens at 4pm,"8-2-293/A/1057/G, Ground To 3rd Floor, Circle 18, Road 45, Jubilee Hills, Hyderabad",17.4271505,78.406045,"1,450",Yes,4.4,55
The Bougainvillea & Zuci,/hyderabad/the-bougainvillea-zuci-jubilee-hills,World Cuisine,11am – 12midnight (Today),"Plot 695, Road 31, Jubilee Hills, Hyderabad",17.43594612,78.40475301,"2,000",No,4.5,1085
Spice 6 - Global Dining,/hyderabad/spice-6-global-dining-banjara-hills,World Cuisine,12:30pm – 11:30pm (Today),"Plot 6-3-247, Lakshmi Nivas, Road 1, Near Kusum Showroom, Banjara Hills, Hyderabad",17.40914634,78.45070839,"1,300",No,4.3,1064
